AccountLength,Location,AddtoWishlist,DesktopSessions,AppSessions,DesktopTransactions,TotalProductDetailViews,SessionDuration,PromotionClicks,AvgOrderValue,SaleProductViews,DiscountRatePerVisitedProducts,ProductDetailViewPerAppSession,AppTransactions,AddToCartPerSession,CustomerServiceCalls,Churn
117,415,0,103,17,18,119,207,91,299,105,13,10,7,3,1,0
65,408,0,188,32,13,116,158,117,227,86,10,8,6,2,1,0
56,415,0,226,38,21,112,249,118,141,142,6,7,11,2,1,0
96,415,0,260,44,12,115,146,46,270,87,12,12,4,3,5,0
151,408,0,179,30,25,116,292,138,266,101,12,10,4,3,0,0
83,415,0,337,57,19,120,227,116,154,114,7,16,7,4,0,1
139,510,23,158,27,21,129,247,96,259,112,12,14,2,4,0,0
6,510,0,184,31,22,117,257,72,179,79,8,10,2,3,1,0
115,510,24,142,24,16,124,183,129,165,114,7,10,4,3,1,0
87,415,0,136,23,15,97,172,108,138,101,6,7,5,2,0,0
141,415,0,217,37,21,110,242,111,254,103,11,12,6,3,0,0
141,510,36,188,32,21,99,241,116,230,105,10,11,5,3,3,0
62,415,0,99,17,12,103,135,122,237,82,11,12,1,3,1,0
146,415,0,206,35,13,151,149,89,167,91,8,6,3,2,1,0
92,415,33,243,41,18,92,214,92,229,104,10,12,2,3,2,0
185,510,31,190,32,14,126,163,133,265,126,12,8,3,2,1,0
148,415,0,202,34,21,102,243,128,261,90,12,11,3,3,1,0
94,408,38,170,29,16,124,193,116,106,73,5,13,4,3,1,0
32,510,0,231,39,16,87,187,90,154,53,7,6,2,2,0,0
68,408,0,237,40,19,105,224,105,97,79,4,13,2,4,1,0
64,408,27,182,31,14,91,170,98,165,86,7,11,5,3,2,0
25,415,0,119,20,18,87,212,101,269,86,12,11,4,3,3,0
65,415,0,117,20,15,87,179,93,182,150,8,14,2,4,1,0
179,408,0,219,37,13,92,149,125,245,104,11,6,5,2,0,0
94,415,0,253,43,14,104,169,125,171,106,8,11,7,3,2,0
62,415,0,147,25,16,91,190,107,195,115,9,12,3,3,0,0
127,415,0,202,34,20,103,229,86,195,113,9,12,3,3,2,0
116,408,0,174,30,17,93,194,76,208,112,9,16,10,4,3,0
70,408,0,232,39,25,122,292,112,201,112,9,0,0,0,3,0
94,510,23,197,34,18,125,215,136,282,103,13,10,5,3,4,0
126,415,0,58,10,12,94,139,118,137,91,6,12,1,3,5,1
67,408,36,116,20,20,111,238,94,170,103,8,10,12,3,2,0
19,408,0,186,32,22,98,254,57,214,127,10,15,7,4,2,0
170,510,0,260,44,21,68,245,122,134,121,6,8,3,2,3,0
73,415,0,214,36,23,145,269,135,241,92,11,11,13,3,1,0
106,408,0,159,27,5,74,64,139,199,103,9,10,4,3,1,0
93,415,0,272,46,20,71,229,108,77,121,3,11,3,3,2,0
164,510,0,161,27,14,111,163,126,187,112,8,9,3,2,1,0
51,408,0,232,40,16,109,187,95,231,107,10,9,3,2,1,0
107,415,0,134,23,15,85,181,94,112,115,5,9,4,2,0,0
130,415,0,177,30,8,109,91,104,238,69,11,10,2,3,1,0
80,408,0,210,36,17,74,195,77,208,119,9,9,4,2,2,0
94,415,0,138,23,17,118,203,88,150,131,7,13,2,4,0,0
118,408,23,290,49,14,52,167,111,119,88,5,10,4,3,1,0
117,415,23,198,34,15,86,177,86,181,92,8,7,6,2,1,0
78,415,0,150,25,15,119,182,115,262,126,12,10,8,3,0,0
208,510,0,327,56,15,67,176,113,182,102,8,11,6,3,2,1
131,510,26,293,50,17,101,200,97,255,127,11,14,7,4,4,1
63,408,0,83,14,15,64,177,106,246,89,11,13,3,4,0,0
53,415,24,146,25,19,146,221,136,250,96,11,13,5,4,3,0
62,408,0,182,31,28,101,328,93,245,131,11,11,1,3,2,0
97,415,0,218,37,16,86,184,94,241,110,11,6,8,2,3,0
105,510,0,141,24,15,109,179,51,217,83,10,7,3,2,2,0
157,415,0,153,26,22,105,258,80,198,93,9,9,4,3,1,0
66,415,36,107,18,18,76,210,77,190,117,9,12,2,3,1,0
122,415,0,244,41,7,98,84,72,180,84,8,14,8,4,2,0
38,415,0,194,33,16,94,187,95,223,90,10,11,5,3,3,0
106,510,0,214,36,13,95,152,70,260,124,12,12,5,3,3,0
99,510,0,217,37,21,112,247,89,226,89,10,16,7,4,3,0
99,415,0,241,41,13,72,156,98,188,109,8,12,10,3,1,0
144,510,0,204,35,21,100,248,103,194,94,9,12,11,3,0,0
82,415,24,155,26,21,131,245,106,122,68,6,11,3,3,1,0
86,408,31,168,28,10,139,113,118,247,121,11,12,6,3,1,0
70,510,0,227,39,19,98,228,115,73,93,3,18,4,5,2,1
93,415,0,179,30,15,93,179,98,225,131,10,12,6,3,3,0
93,415,0,151,26,16,89,186,76,173,120,8,11,3,3,0,0
120,415,0,180,31,19,80,224,82,265,91,12,5,7,1,3,0
136,415,0,250,43,23,121,267,118,151,114,7,13,2,4,1,1
106,415,0,223,38,9,121,110,98,189,107,8,7,12,2,0,0
81,415,0,184,31,13,116,153,98,212,99,10,12,6,3,3,0
127,408,22,166,28,15,114,175,103,245,68,11,10,6,3,1,0
65,415,0,136,23,23,112,273,96,220,104,10,4,2,1,1,0
35,408,0,149,25,21,113,242,122,174,104,8,9,6,2,2,0
88,408,0,65,11,14,97,168,76,236,113,11,14,1,4,2,0
65,415,0,213,36,20,111,235,94,250,123,11,3,4,1,1,0
123,415,0,207,35,21,85,245,78,222,136,10,8,2,2,3,0
126,408,27,186,32,16,78,190,83,77,139,3,10,3,3,2,0
104,415,23,280,48,19,136,221,92,137,102,6,13,3,4,4,0
45,415,22,197,33,27,84,313,92,163,108,7,12,3,3,0,0
93,408,0,312,53,11,109,129,100,218,74,10,11,2,3,0,1
63,415,36,199,34,25,110,291,111,198,92,9,11,6,3,1,0
100,415,0,203,35,18,96,217,126,181,122,8,14,2,4,3,0
53,415,0,169,29,19,97,220,87,154,113,7,11,2,3,0,0
92,415,0,173,29,20,140,240,105,233,117,10,9,5,2,1,0
139,510,0,134,23,18,106,211,98,194,125,9,10,2,3,5,1
110,408,40,203,34,10,103,119,128,235,98,11,9,9,2,2,0
110,408,0,75,13,17,117,201,98,192,101,9,10,7,3,3,0
215,510,0,84,14,10,148,121,91,227,110,10,11,9,3,0,0
73,415,0,192,33,14,86,169,116,140,87,6,9,6,3,1,0
138,510,0,220,37,8,89,88,125,195,79,9,13,5,3,0,0
137,415,0,135,23,11,95,134,102,223,81,10,12,2,3,2,1
36,415,0,253,43,16,77,182,151,276,103,12,8,2,2,1,0
85,408,0,225,38,15,81,177,63,194,110,9,7,2,2,3,0
108,408,0,199,34,23,99,268,60,355,75,16,9,3,3,0,1
22,408,0,110,19,14,107,167,93,202,96,9,10,5,3,0,0
107,415,37,60,10,9,102,102,80,262,106,12,11,3,3,0,0
51,510,0,215,37,13,94,150,58,283,66,13,10,5,3,0,0
94,408,0,182,31,17,85,202,98,246,97,11,9,2,2,4,0
119,510,23,154,26,24,114,278,137,228,112,10,12,4,3,2,0
33,415,29,157,27,10,99,118,80,279,79,13,14,11,4,4,1
106,415,0,208,35,15,91,172,109,192,143,9,14,7,4,4,0
82,408,0,207,35,20,90,233,83,172,108,8,9,8,2,3,0
86,510,41,119,20,20,101,230,134,237,58,11,10,3,3,0,0
97,415,0,144,24,23,117,273,82,178,81,8,11,3,3,0,0
106,408,32,166,28,18,126,217,93,173,86,8,14,8,4,4,0
108,510,0,139,24,15,122,172,117,232,92,10,10,3,3,1,0
114,415,0,85,14,21,118,250,86,193,95,9,15,8,4,1,0
92,408,0,63,11,15,111,181,126,222,80,10,10,2,3,1,1
59,510,0,155,26,20,79,235,123,169,80,8,9,4,2,1,0
24,510,25,165,28,18,110,209,105,231,55,10,7,9,2,1,0
151,408,0,135,23,12,88,143,112,224,61,10,15,1,4,1,0
117,415,0,143,24,18,103,211,108,185,96,8,12,3,3,1,0
78,510,0,168,29,19,110,221,73,241,136,11,13,1,3,1,0
155,408,0,262,45,17,55,195,113,147,85,7,8,6,2,2,0
114,510,30,206,35,22,79,260,91,292,83,13,11,6,3,1,0
114,510,28,226,38,16,94,193,117,232,100,10,8,9,2,4,0
119,408,0,138,24,14,89,171,78,264,98,12,14,6,4,3,0
64,510,48,94,16,12,104,136,101,147,89,7,5,4,1,0,0
118,408,0,160,27,15,123,175,96,185,99,8,10,3,3,2,0
101,415,0,207,35,19,105,225,117,250,100,11,15,3,4,0,0
117,415,0,135,23,15,121,180,83,201,104,9,8,3,2,1,0
49,415,28,214,36,20,78,235,100,206,107,9,8,13,2,3,0
139,415,0,193,33,20,104,234,96,203,101,9,13,3,4,3,0
92,408,28,151,26,17,90,195,79,239,114,11,10,3,3,1,0
83,415,0,221,38,20,103,232,103,123,100,6,10,5,3,3,0
148,510,0,219,37,18,88,208,85,203,99,9,11,4,3,0,0
144,408,48,190,32,10,96,123,67,214,106,10,7,2,2,2,1
131,415,25,193,33,19,85,226,105,254,59,11,11,6,3,2,0
146,510,0,204,35,19,135,219,90,223,114,10,11,6,3,3,0
143,415,0,172,29,15,97,174,108,188,119,8,13,4,4,2,0
81,415,0,198,34,18,93,211,108,193,71,9,10,6,3,2,0
48,415,37,212,36,14,115,160,84,144,80,6,12,1,3,1,0
86,415,28,222,38,25,74,288,100,240,105,11,9,2,2,1,0
71,415,0,198,34,15,108,182,109,281,56,13,7,5,2,3,0
145,408,24,148,25,15,90,176,108,252,102,11,16,3,4,2,0
137,510,0,206,35,11,122,128,102,195,84,9,9,5,2,2,0
137,408,0,206,35,18,88,209,86,290,84,13,15,4,4,2,0
167,510,0,208,35,11,88,132,63,255,98,11,14,5,4,0,0
89,510,0,304,52,22,95,261,114,312,89,14,5,3,1,1,1
199,415,34,231,39,19,121,219,99,299,94,13,8,2,2,0,0
132,510,0,100,17,11,110,129,80,125,124,6,10,3,3,0,0
94,510,0,177,30,16,112,194,112,147,108,7,6,4,2,1,0
96,415,37,173,29,10,93,120,116,216,86,10,10,5,3,5,1
96,510,18,173,29,11,86,133,113,260,70,12,10,3,3,1,0
166,510,0,204,35,15,115,180,152,217,109,10,10,5,3,1,0
74,415,0,86,15,21,83,248,67,142,85,6,10,5,3,2,0
36,415,0,158,27,16,117,184,58,240,99,11,12,1,3,0,0
113,415,0,216,37,19,129,219,117,207,91,9,7,9,2,4,0
94,415,0,182,31,17,98,200,88,288,114,13,7,5,2,1,0
67,415,0,172,29,9,80,110,81,195,111,9,12,4,3,2,0
127,415,0,267,45,23,106,265,168,207,119,9,6,2,2,1,1
121,408,0,170,29,30,108,351,68,297,87,13,11,3,3,0,1
158,415,0,158,27,25,106,293,114,241,89,11,9,4,2,1,0
136,510,0,92,16,22,117,254,77,214,90,10,10,10,3,1,0
196,415,0,234,40,21,109,250,114,173,70,8,9,5,2,2,0
113,415,0,272,46,23,111,269,118,214,105,10,9,10,2,1,1
122,408,0,296,50,18,99,215,89,134,107,6,11,3,3,4,1
112,510,0,194,33,16,101,190,82,183,107,8,11,2,3,0,0
209,415,0,227,39,22,128,258,92,184,74,8,9,4,2,3,0
62,415,0,249,42,19,109,220,118,266,78,12,13,2,4,1,1
110,415,38,236,40,17,102,196,112,184,82,8,10,6,3,1,0
16,510,0,206,35,14,69,170,93,220,64,10,11,3,3,0,0
73,408,0,94,16,24,136,280,122,205,77,9,10,4,3,0,0
128,408,0,125,21,17,99,205,107,254,111,11,19,2,5,0,0
39,408,0,60,10,26,158,306,120,124,46,6,12,3,3,1,0
103,415,28,121,21,23,105,270,100,161,76,7,8,4,2,2,0
119,415,29,118,20,22,66,257,114,148,76,7,8,3,2,3,0
173,510,21,232,40,18,96,212,118,273,102,12,5,5,1,3,0
128,510,32,224,38,16,81,189,74,155,101,7,9,2,3,2,1
86,510,0,176,30,22,79,259,97,287,78,13,6,3,2,0,0
114,415,32,125,21,15,79,178,105,232,89,10,13,3,3,1,0
104,408,0,139,24,22,107,257,113,235,74,11,10,3,3,0,0
148,415,0,86,15,21,134,247,92,252,91,11,11,4,3,1,0
129,408,0,207,35,13,91,155,121,245,112,11,13,5,4,3,0
100,510,30,59,10,19,104,220,107,152,118,7,7,3,2,0,0
121,408,35,69,12,18,95,209,69,197,42,9,11,4,3,1,0
143,408,33,239,41,20,109,236,112,156,95,7,10,4,3,1,0
76,510,0,198,34,18,130,217,86,188,96,8,13,3,3,0,0
158,510,0,205,35,20,97,241,77,80,108,4,14,12,4,0,0
116,510,0,192,33,27,98,313,135,130,94,6,8,2,2,3,0
54,415,0,273,46,21,83,249,74,197,111,9,10,2,3,1,1
86,415,0,128,22,17,121,197,93,138,152,6,12,5,3,7,1
108,510,0,170,29,22,99,264,87,206,78,9,9,4,3,0,0
66,510,0,201,34,13,95,153,66,233,101,10,8,4,2,1,0
151,408,17,215,37,12,97,139,90,169,44,8,9,4,2,1,0
99,510,0,169,29,23,70,272,77,170,104,8,11,2,3,0,0
55,415,0,194,33,15,121,177,110,303,136,14,7,7,2,2,0
77,510,0,234,40,23,104,267,94,213,104,10,8,3,2,2,0
78,408,0,225,38,17,67,199,127,176,102,8,15,2,4,0,0
89,415,0,213,36,15,63,177,71,263,126,12,9,1,2,1,1
101,415,0,184,31,22,115,256,101,275,145,12,11,11,3,1,0
44,415,34,222,38,14,105,162,85,228,62,10,14,7,4,0,0
98,408,21,65,11,15,98,176,86,245,84,11,0,0,0,2,0
64,510,37,155,26,7,92,83,103,166,99,7,13,3,4,1,0
141,415,0,260,44,15,131,179,120,135,119,6,7,8,2,3,0
81,415,33,162,27,10,117,123,90,261,101,12,12,5,3,1,0
162,510,0,221,38,13,117,155,121,187,89,8,11,11,3,1,0
83,415,41,156,27,14,122,162,107,128,105,6,13,5,4,3,0
100,510,0,107,18,9,63,106,67,243,74,11,13,3,3,4,1
59,510,0,183,31,17,104,205,95,230,100,10,11,8,3,4,0
179,415,38,220,37,20,78,234,71,237,85,11,10,4,3,4,0
79,408,0,152,26,15,112,177,132,96,87,4,5,3,1,1,0
117,415,0,182,31,17,95,205,88,204,82,9,15,9,4,2,0
64,408,0,236,40,19,77,219,85,194,97,9,13,2,4,2,1
31,415,0,166,28,7,105,79,93,214,98,10,13,2,3,1,0
124,408,0,245,42,16,89,189,80,206,114,9,11,4,3,1,0
122,408,23,134,23,19,85,227,132,122,96,6,9,2,2,2,0
37,408,39,150,25,18,122,211,75,114,90,5,9,4,2,1,0
90,408,29,150,26,23,109,265,103,178,97,8,6,4,2,1,0
159,408,0,257,44,27,53,312,127,183,82,8,9,6,2,1,1
148,415,0,124,21,15,83,180,81,253,99,11,11,6,3,0,0
39,415,36,142,24,20,121,232,113,222,131,10,12,5,3,1,0
77,408,0,230,39,9,87,103,138,310,136,14,11,3,3,2,0
194,408,0,162,28,18,88,214,118,192,81,9,11,2,3,0,0
154,415,0,351,60,18,75,217,94,254,100,11,10,9,3,1,1
112,415,0,193,33,22,96,264,123,129,115,6,9,3,2,4,0
45,415,0,78,13,22,127,253,108,255,100,11,18,3,5,1,0
132,415,0,83,14,20,110,232,137,147,114,7,8,5,2,1,0
128,415,0,196,33,23,99,268,120,165,76,7,16,2,4,0,0
135,415,0,202,34,19,81,225,114,204,82,9,10,6,3,1,0
56,408,0,197,33,19,110,223,102,225,91,10,11,6,3,2,0
151,415,0,218,37,10,57,114,88,269,95,12,12,1,3,0,1
32,415,0,165,28,20,98,230,96,167,108,8,15,2,4,2,0
90,415,0,179,30,18,77,211,99,277,58,12,9,6,2,2,0
87,415,21,214,36,15,113,180,114,135,82,6,11,5,3,0,0
138,415,0,171,29,10,87,118,116,188,111,8,11,7,3,2,0
79,408,0,206,35,18,123,215,108,226,106,10,7,18,2,1,0
95,415,0,166,28,24,84,286,112,199,89,9,12,2,3,1,1
127,415,0,221,38,14,100,161,113,233,96,10,7,4,2,2,0
137,510,0,242,41,16,118,191,93,219,50,10,15,2,4,3,0
97,415,0,152,26,13,107,155,96,240,112,11,15,4,4,1,0
149,415,0,176,30,12,87,145,81,250,92,11,6,4,2,0,0
117,415,22,196,33,27,82,323,82,226,120,10,4,5,1,1,0
84,408,0,160,27,21,125,247,90,188,82,8,7,4,2,2,0
137,415,0,230,39,19,113,220,79,205,111,9,11,7,3,4,0
99,415,0,147,25,23,64,274,99,321,98,14,9,1,2,3,0
54,510,0,211,36,17,102,205,83,128,53,6,9,5,2,1,0
85,415,0,102,17,23,95,270,139,148,105,7,11,3,3,1,0
150,510,0,126,21,20,99,239,73,285,100,13,10,6,3,3,0
43,415,0,168,29,21,125,244,89,215,102,10,11,2,3,1,0
35,415,0,106,18,22,129,258,129,213,77,10,9,3,2,0,0
98,415,0,207,35,15,92,176,152,233,115,10,12,5,3,5,0
112,510,0,217,37,17,76,205,100,186,91,8,9,3,3,2,0
16,510,0,230,39,17,78,206,108,166,91,7,11,2,3,0,1
98,415,22,278,47,8,89,93,143,108,42,5,10,5,3,0,0
84,408,0,139,24,17,102,199,93,204,137,9,8,4,2,0,0
94,415,0,234,40,24,103,279,109,234,121,11,2,2,1,1,1
84,510,0,182,31,11,129,131,112,187,118,8,9,4,2,1,0
66,415,0,167,28,20,91,230,68,192,118,9,11,5,3,1,1
98,415,31,121,21,19,105,219,98,227,110,10,12,1,3,1,0
74,415,0,221,38,9,124,111,94,240,112,11,11,3,3,0,0
96,408,26,146,25,16,108,192,89,165,96,7,10,2,3,1,0
